<NUMBER OF ZONES> 132											
<NUMBER OF NODES> 28290											
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 28064											
<END OF METADATA>											
											
											
~	Init Node	Term Node	capacity	length	free flow time	B	power	SpeedLimit	Toll	Type	;
	1	3600676	134400.0054	17.26826038	0.000154249	1	4	0	0	1	;
	2	4200404	134400.0054	5.037246904	4.49954E-05	1	4	0	0	1	;
	4	3600665	134400.0054	10.863072	6.62262E-05	1	4	0	0	1	;
	4	4201082	134400.0054	7.869691945	0.002417204	1	4	0	0	1	;
	6	3600267	112000	7.435169096	0.002283697	1	4	0	0	1	;
	6	4200737	112000	4.087733699	0.003521414	1	4	0	0	1	;
	7	3600199	156799.9973	26.79557699	0.000163358	1	4	0	0	1	;
	8	1800246	112000	18.41089468	0.006686927	1	4	0	0	1	;
	9	3900003	537600.0213	22.36988099	9.17853E-05	1	4	0	0	1	;
	10	3900507	156799.9973	17.26826038	0.000177642	1	4	0	0	1	;
	11	5100068	112000	6.260348329	0.001310958	1	4	0	0	1	;
	12	2100140	537600.0213	2.800258575	0.002663919	1	4	0	0	1	;
	13	1800069	134400.0054	5.343021973	4.77267E-05	1	4	0	0	1	;
	17	2400082	537600.0213	0.386242551	0.001388078	1	4	0	0	1	;
	19	5100186	537600.0213	12.3436686	0.000942053	1	4	0	0	1	;
	20	5100462	112000	5.825825096	0.000107798	1	4	0	0	1	;
	21	1800178	537600.0213	10.04230619	4.12043E-05	1	4	0	0	1	;
	22	4201045	537600.0213	6.115507123	0.003141835	1	4	0	0	1	;
	23	24	537600.0213	0.498896644	2.04701E-06	1	4	0	0	1	;
	24	5400215	537600.0213	2.253081562	0.000221948	1	4	0	0	1	;
	25	2100156	112000	10.5251097	0.00015487	1	4	0	0	1	;
	25	5100179	112000	1.496689932	2.20228E-05	1	4	0	0	1	;
	26	1800311	492800.0108	2.735884877	4.02567E-05	1	4	0	0	1	;
	27	1300400	134400.0054	22.14457381	0.000135003	1	4	0	0	1	;
	33	1300012	112000	14.85424438	0.007309131	1	4	0	0	1	;
	34	1300138	537600.0213	5.487863178	0.003534961	1	4	0	0	1	;
	35	1300135	112000	6.212067671	0.00118088	1	4	0	0	1	;
	37	593	537600.0213	1.142634205	4.68831E-06	1	4	0	0	1	;
	39	1300242	156799.9973	25.37935562	0.000104133	1	4	0	0	1	;
	41	2200257	112000	7.370795397	0.001066614	1	4	0	0	1	;
	41	4800159	112000	27.19791299	0.002677326	1	4	0	0	1	;
	43	500255	156799.9973	12.07008	0.0038399	1	4	0	0	1	;
	44	4000247	112000	35.21244537	0.004306704	1	4	0	0	1	;
	45	4700064	134400.0054	18.49136219	0.001820265	1	4	0	0	1	;
	46	4700234	112000	0.659831034	1.22092E-05	1	4	0	0	1	;
	48	2200289	156799.9973	14.43581611	8.80073E-05	1	4	0	0	1	;
	48	4800408	156799.9973	14.58065732	0.003053259	1	4	0	0	1	;
	49	4700272	112000	0.177027839	2.60484E-06	1	4	0	0	1	;
	51	4700232	156799.9973	0.128747517	5.28261E-07	1	4	0	0	1	;
	52	53	112000	9.994026301	0.000184925	1	4	0	0	1	;
	52	42	112000	37.30459441	0.015099403	1	4	0	0	1	;
	53	1200299	112000	8.416869151	0.007074161	1	4	0	0	1	;
